用户名称,评论时间,评论内容
壞駭孓1803,11月27日 15:49,"打扰一下啊，非常感谢你看下去哦，过几天是我和我男朋友在一起999天的日子，我们来自陕西省榆林市，希望各地的小可爱可以帮我评论一下，我想和他一直在一起度过余生，希望得到大家的祝福，
例如"
劦屿-,11月27日 15:37,你说我们要一直厮守一辈子，但当你开始赚钱开始，你就变了，曾经的话语抵不过你追逐的梦想，终究是耽误了。在一起不需要物质，但物质又承担着在一起，挺可笑。
南宫崎骏_uTFd,11月27日 15:34,3年了 你还好吗
Andrea1809,11月27日 15:32,这是你喜欢的歌，我也曾听过。初听不知意，后知后觉。爱过你，我从不后悔。其实，我不是爱你。我只是忠诚于爱情。可是啊，有些男孩子就是没有机会看到那些足够的美丽。是你我无缘，总是会错意。懒得说你是渣男，只是不爱而已。不期望你过得好，但客观说
SL-forever90,11月27日 14:59,加油
kimmy225,11月27日 14:45,换位思考一下？
瓦史托德虚白,11月27日 14:08,还记得以前一直唱这首歌的时候吗？那是我和你的唯一一次合唱，在离开校园时，一位学生在台上唱这首歌，当时我情不自禁的回忆起了我们的往事，但我还是加快脚步的离开了，我们的缘分尽了，在人海中相遇，总归要还给人海的
今天很想你55,11月26日 22:57,加油o
平平淡淡最是无聊,11月26日 22:57,尹娅表姐，我真的喜欢你
平平淡淡最是无聊,11月26日 22:56,尹娅表姐，我真的很喜欢你呀，
Dear_葛尔,11月26日 22:53,[多多大哭]
葵雨32006,11月26日 22:51,前边看着是意难平，后边是挺意外的
别摆一张战斗脸,11月26日 22:50,这首歌好像是初中哪一年老师让学会的歌那时还不懂为什么 现在恍然明白了所有 初三马上毕业了脑海里浮现三年的记忆有开心有悲伤有难以回忆的记忆那些不堪不想在想起 我现在很开心有许多朋友照顾我的心情 推测我的脾气 不开心会得到安慰o
我是myue啊,11月26日 22:50,我已经很久没有见到我朝思暮想的那张脸了 
菜根cium,11月26日 22:40,岁月流转，每一天都在答题，唯有最后一刻是交卷，尽量让自己问心无愧一点，尽量让自己温暖一点，交卷的时候可以多一些释然
燊行,11月26日 22:37,高燊，有个叫王聪，等了你4年
懶得吃早飯啊,11月26日 22:33,我奶奶也有个野心，想活到我大学毕业 看我工作 娶妻生子过日子但她没有做到 在今年七夕前搬到了天上去住
别烦给爷爬,11月26日 22:28,大家赞赞我的动态吧
魏北涵,11月26日 22:08,so？
逸彻,11月26日 22:02,啊这
无聊_mfRU,11月26日 21:59,那又怎样？
梦樱_vqFn,11月26日 21:58,哇⊙?⊙！
脉脉不得语171226,11月26日 21:55,他说你长得丑，色不是你能决定的，七分天意，尤其是上学不打扮。德行好，成绩好才是人杰。对这种爱说恼羞成怒和他对喷是不明智不度量的，变成拉低了你的道德水平，变成狗咬狗，从你回他已经证明你德行比他高不知道多少层次，各大网友都在安稳你，愿你被温柔以待，这是全体中华道德感的意识提现。
脉脉不得语171226,11月26日 21:50,"“可古语云，士有百行，敢问夫君有几行？”
许允作为当时的名士，相当自信地回答"
